"id","age","sex","marital","pd1","pd2","pd3","pd4","pd5","pd6","pd7","pd8","pd9","pd10","pd11","pd12","pd13","pd14","pd15","pd16","pd17","pd18","pd19","pd20","life.dis","daily.dis"
17033,54,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17037,64,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,3,2,4,4,0,16
17042,72,2,1,0,0,0,1,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,1,10
17043,46,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17048,48,2,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17051,63,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17056,69,1,1,4,0,1,1,0,0,0,0,1,0,0,3,3,3,4,3,4,3,3,3,4,16
17059,63,1,1,0,0,0,0,0,0,0,1,0,0,0,3,3,4,4,3,4,3,3,3,1,15
17060,76,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17061,62,2,1,1,0,1,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,3,9
17062,69,1,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17072,87,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,NA,9
17073,60,2,3,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,2,2,2,2,3,3,3,3,3,4,22
17075,78,2,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17076,59,1,5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17077,69,1,1,0,0,3,0,0,0,0,0,0,0,0,4,4,4,4,3,4,4,4,4,1,10
17078,53,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17082,68,2,1,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,9
17087,63,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17088,49,2,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,2,4,4,0,12
17090,60,2,3,1,0,2,1,0,0,0,0,0,0,2,4,4,4,2,3,4,2,4,4,4,14
17095,85,1,1,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,9
17097,61,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17098,70,1,3,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,3,1,26
17099,66,2,1,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,9
17100,59,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,0,NA
17101,75,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,4,3,3,4,3,0,15
17105,63,2,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17112,68,2,1,0,0,1,0,0,0,0,0,0,0,0,3,2,2,2,4,4,4,4,4,1,16
17113,55,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17117,80,1,1,0,0,1,1,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,3,9
17135,65,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,4,4,4,0,10
